WLBR_ID,Company,Field_Name,Lat,Lon,Yr,OEB,Oil_BBLS,Gas_OEB,Gas_KCF,Days_Tot,Water_Tot,FM AGE,Formation,Oil_Gravity,,,,,,
2505658,ARNELL OIL COMPANY,POISON SPIDER,42.843889,-106.740748,2000,365,365,0,0,362,710,Triassic,CROW MOUNTAIN,22.0,,,,,,
2505659,PENNECO EXPLORATION COMPANY OF WYO LLC,BROOKS RANCH,42.844360,-106.083330,2000,723,723,0,0,246,2342,Cret. Upr,FRONTIER-2,30.8,,,,,,
2505660,PENNECO EXPLORATION COMPANY OF WYO LLC,BROOKS RANCH,42.844444,-106.093020,2000,18,18,0,0,18,81,Cret. Upr,FRONTIER-2,27.9,,,,,,
2505661,ARNELL OIL COMPANY,POISON SPIDER,42.836806,-106.748375,2000,1070,1070,0,0,355,3240,Triassic,CROW MOUNTAIN,20.2,,,,,,
2505663,SYNERGY OFFSHORE LLC,POISON SPIDER WEST,42.845202,-106.880466,2000,2590,2018,572,3429,364,361,Cret. Upr,PARKMAN,42.5,,,,,,
2505670,ARNELL OIL COMPANY,POISON SPIDER,42.847660,-106.743391,2000,122,122,0,0,70,5100,Penn,TENSLEEP,5.8,,,,,,
2505673,SYNERGY OFFSHORE LLC,POISON SPIDER WEST,42.847609,-106.887900,2000,172,172,0,0,363,0,Cret. Upr,CODY,41.6,,,,,,
2505673,SYNERGY OFFSHORE LLC,POISON SPIDER WEST,42.847609,-106.887900,2000,4399,3297,1102,6613,363,453,Cret. Upr,MESAVERDE,42.7,,,,,,
2505680,ARNELL OIL COMPANY,POISON SPIDER,42.848190,-106.745280,2000,194,194,0,0,83,35020,Penn,TENSLEEP,5.8,,,,,,
2505688,ARNELL OIL COMPANY,POISON SPIDER,42.849490,-106.745890,2000,194,194,0,0,83,10120,Penn,TENSLEEP,5.8,,,,,,
2505693,ARNELL OIL COMPANY,POISON SPIDER,42.850128,-106.754146,2000,721,721,0,0,359,21540,Triassic,CROW MOUNTAIN,22.0,,,,,,
2505712,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.855117,-106.767928,2000,966,966,0,0,313,86783,Penn,TENSLEEP,18.5,,,,,,
2505721,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.856015,-106.770645,2000,1620,1620,0,0,366,72789,Penn,TENSLEEP,18.5,,,,,,
2505725,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.856466,-106.772420,2000,2356,2356,0,0,366,137169,Penn,TENSLEEP,18.5,,,,,,
2505727,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.864202,-106.786140,2000,3240,3240,0,0,365,228698,Penn,TENSLEEP,18.5,,,,,,
2505729,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.857780,-106.773610,2000,2869,2869,0,0,365,110182,Penn,TENSLEEP,18.5,,,,,,
2505730,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.857565,-106.770657,2000,1304,1304,0,0,356,60756,Penn,TENSLEEP,18.5,,,,,,
2505739,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.858390,-106.777110,2000,1055,1055,0,0,300,75453,Penn,TENSLEEP,18.5,,,,,,
2505743,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.859259,-106.770017,2000,1576,1576,0,0,318,42612,Penn,TENSLEEP,18.5,,,,,,
2505747,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.859166,-106.775070,2000,4127,4127,0,0,365,282198,Penn,TENSLEEP,18.5,,,,,,
2505751,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.860420,-106.775378,2000,2518,2518,0,0,366,116679,Penn,TENSLEEP,18.5,,,,,,
2505754,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.859837,-106.773005,2000,0,0,0,0,366,85278,Penn,TENSLEEP,18.5,,,,,,
2505761,QUICKSILVER RESOURCES INC,CASPER CREEK SOUTH,42.864251,-106.783063,2000,0,0,0,0,99,0,Penn,TENSLEEP,,,,,,,
2505765,MERITAGE ENERGY PARTNERS LLC,CASPER CREEK SOUTH,42.866098,-106.787930,2000,0,0,0,0,99,0,Penn,TENSLEEP,,,,,,,
2505769,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.867952,-106.787899,2000,1920,1920,0,0,291,78861,Penn,TENSLEEP,18.5,,,,,,
2505770,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.869464,-106.785000,2000,838,838,0,0,262,87508,Penn,TENSLEEP,18.5,,,,,,
2505777,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.869356,-106.786549,2000,3318,3318,0,0,332,316728,Penn,TENSLEEP,18.5,,,,,,
2505785,SCARLETT ENERGY ENTERPRISES LLC ,PINE MOUNTAIN,42.958609,-106.869461,2000,0,0,0,0,396,0,Penn,TENSLEEP,,,,,,,
2505786,CITATION OIL & GAS CORPORATION,CASPER CREEK SOUTH,42.871834,-106.787999,2000,4536,4536,0,0,349,584226,Penn,TENSLEEP,18.5,,,,,,
2505791,SCARLETT ENERGY ENTERPRISES LLC ,PINE MOUNTAIN,42.960648,-106.871732,2000,1187,1187,0,0,121,1540,Penn,TENSLEEP,,,,,,,
2505821,VANGUARD OPERATING LLC,WALLACE CREEK,42.902367,-107.238368,2000,15552,597,14955,89727,250,0,Cret. Lwr,MUDDY,4.3,,,,,,
2505834,VANGUARD OPERATING LLC,WALLACE CREEK,42.913060,-107.247610,2000,1457,74,1383,8295,299,0,UNKN,RADERVILLE,3.3,,,,,,
2505835,VANGUARD OPERATING LLC,WALLACE CREEK,42.913051,-107.262750,2000,1036,34,1002,6012,172,0,Cret. Lwr,MUDDY,,,,,,,
2505864,ENEREX LIMITED LIABILITY CO,RADERVILLE,42.953587,-107.449172,2000,669,669,0,0,189,0,Cret. Upr,CODY,6.0,,,,,,
2505865,ENEREX LIMITED LIABILITY CO,RADERVILLE,42.953560,-107.439280,2000,0,0,0,0,99,0,Cret. Upr,CODY,,,,,,,
2505873,ENEREX LIMITED LIABILITY CO,RADERVILLE,42.957110,-107.444310,2000,1773,1580,193,1157,432,400,Cret. Upr,CODY,22.0,,,,,,
2505916,SLAWSON EXPLORATION COMPANY INC,COLE CREEK,42.989320,-106.088876,2000,0,0,0,0,99,0,Cret. Lwr,DAKOTA-LAKOTA,,,,,,,
2505925,BLUE TIP ENERGY WYOMING INC,COLE CREEK,42.994123,-106.096636,2000,0,0,0,0,99,0,Cret. Lwr,DAKOTA,,,,,,,
2505931,BLACK BEAR OIL CORPORATION,MIDWAY,42.994287,-106.283410,2000,817,817,0,0,226,15811,Cret. Lwr,MUDDY-DAKOTA,19.8,,,,,,
2505947,BLUE TIP ENERGY WYOMING INC,COLE CREEK,42.996518,-106.098811,2000,0,0,0,0,99,0,Cret. Upr,FRONTIER-2,,,,,,,
2505948,TEREX ENERGY CORPORATION,COLE CREEK,42.996361,-106.094489,2000,0,0,0,0,99,0,Cret. Lwr,DAKOTA-LAKOTA,,,,,,,
2505950,CITATION OIL & GAS CORPORATION,BOONE DOME,42.997703,-106.996281,2000,180,18,162,972,95,0,Cret. Upr,FRONTIER,,,,,,,
2505975,CITATION OIL & GAS CORPORATION,BOONE DOME,43.013563,-107.012795,2000,1579,3,1576,9457,143,0,Cret. Upr,FRONTIER,,,,,,,
2505981,CITATION OIL & GAS CORPORATION,BOONE DOME,43.020830,-107.018610,2000,2223,24,2199,13193,101,17,Cret. Upr,FRONTIER,3.1,,,,,,
2505989,BLACK BEAR OIL CORPORATION,CLARK RANCH,43.031774,-106.964319,2000,768,0,768,4610,366,0,Cret. Lwr,LAKOTA,,,,,,,
2505991,BLACK BEAR OIL CORPORATION,CLARK RANCH,43.034010,-106.962500,2000,1208,1208,0,0,313,13640,Penn,TENSLEEP,19.3,,,,,,
